Pais,Operacion,Fuente,Anio,Mujeres,Hombres,Adultos,Jovenes,Variacion
Maldivas,IGNORAR,,2016,0.9811,0.973,0.9773,0.9875,-0.51
Mali,OK,,2018,0.2574,0.4618,0.3547,0.5013,0.77
Malta,OK,,2018,0.9599,0.9301,0.945,0.993,0.42
Mauritania,OK,,2017,0.4335,0.6375,0.535,0.6395,7.83
Mauritius,OK,,2018,0.8937,0.9336,0.9133,0.9904,0.91
Mexico,OK,,2018,0.9461,0.9623,0.9538,0.9932,0.19
Moldova,OK,,2014,0.9914,0.996,0.9936,0.9981,0.35
Mongolia,OK,,2018,0.9865,0.9819,0.9842,0.9863,0.17
Montenegro,OK,,2018,0.9827,0.9945,0.9885,0.9911,-0.1
Morocco,OK,,2018,0.6459,0.833,0.7375,0.9773,6.51
Mozambique,OK,,2017,0.503,0.726,0.6066,0.7091,0.39
Myanmar,OK,,2016,0.7185,0.8001,0.7555,0.8475,-9.84
Namibia,OK,,2018,0.9144,0.9163,0.9153,0.9516,0.75
Nepal,OK,,2018,0.5972,0.7859,0.6791,0.9239,7.64
Netherlands,OK,*1,2010,0.99,0.99,0.99,0.99,0
New Zealand,OK,*1,2010,0.99,0.99,0.99,0.99,0
Nicaragua,OK,,2015,0.8278,0.8244,0.8261,0.9157,4.56
Niger,OK,,2012,0.2255,0.3906,0.3056,0.3979,3.24
Nigeria,OK,,2018,0.5266,0.7126,0.6202,0.7503,8.65
North Cyprus,FALTA,,,,,,,
North Korea,IGNORAR,,2008,1,1,1,1,0
Norway,OK,*1,2010,0.99,0.99,0.99,0.99,0
Oman,OK,,2018,0.9269,0.9699,0.9565,0.9862,-0.04
Pakistan,OK,,2017,0.4647,0.7112,0.5913,0.7453,1.73
Palaos,IGNORAR,,2015,0.9634,0.9681,0.9659,0.9866,-1.17
Palestinian Territories,OK,,2018,0.9574,0.9866,0.9722,0.9934,-0.05
Panama,OK,,2018,0.9488,0.9597,0.9541,0.991,1.46
Papúa Nueva Guinea,IGNORAR,,2010,0.579,0.6529,0.616,0.679,1.22
Paraguay,OK,,2018,0.9353,0.9451,0.9402,0.9828,-0.17
Peru,OK,,2018,0.917,0.9712,0.9441,0.9902,-0.03
Philippines,OK,,2015,0.9824,0.9812,0.9818,0.9908,0.97
Poland,OK,,2008,0.9825,0.9928,0.9874,0.998,0
Portugal,OK,,2018,0.9507,0.9735,0.9614,0.9966,0.23
Qatar,OK,,2017,0.9471,0.9314,0.9346,0.9464,-0.82
Romania,OK,,2018,0.986,0.9911,0.9884,0.9943,0.43
Russia,OK,,2018,0.9973,0.9973,0.9973,0.997,-0.01
Rwanda,OK,,2018,0.6939,0.7756,0.7322,0.8649,1.43
Samoa,IGNORAR,,2018,0.9925,0.9896,0.991,0.9912,-0.11
San Marino,IGNORAR,,2018,0.999,0.9993,0.9992,1,0
San Vicente y las Granadinas,IGNORAR,,1970,0.955,0.958,0.9563,0.9796,0
Santo Tomé y Príncipe,IGNORAR,,2018,0.8952,0.9616,0.9282,0.9778,1.04
Saudi Arabia,OK,,2017,0.9271,0.971,0.9533,0.993,0.08
Senegal,OK,,2017,0.398,0.6481,0.519,0.6948,13.58
Serbia,OK,,2016,0.9823,0.995,0.9884,0.9972,0.41
Seychelles,IGNORAR,,2018,0.9635,0.9541,0.9587,0.9907,0.1
Sierra Leona,OK,,2018,0.3485,0.5165,0.4321,0.6665,9.63
Singapore,OK,,2018,0.9592,0.9885,0.9734,0.9993,0
Slovakia,OK,*1,2010,0.99,0.99,0.99,0.99,0
Slovenia,OK,,2014,0.996,0.9969,0.997,0.998,0
Somalia,IGNORAR,,1972,0.0369,0.072,0.054,0.1314,0
Somaliland region,FALTA,,,,,,,
South Africa,OK,,2017,0.8646,0.8768,0.8705,0.9532,-3.63
South Korea,OK,*1,2010,0.99,0.99,0.99,0.99,0
Spain,OK,,2018,0.9797,0.9893,0.9844,0.9972,0.09
Sri Lanka,OK,,2018,0.908,0.9277,0.9171,0.9878,-0.07
Sudan,OK,,2018,0.5606,0.6544,0.607,0.73,7.19
Sudán del Sur,OK,,2018,0.2886,0.4026,0.3452,0.479,11.2
Suriname,OK,,2018,0.9271,0.9607,0.9438,0.9865,0.98
Swaziland,OK,,2018,0.8854,0.8829,0.8842,0.9547,1.97
Sweden,OK,*1,2010,0.99,0.99,0.99,0.99,0
Switzerland,OK,*1,2010,0.99,0.99,0.99,0.99,0
Syria,OK,,2004,0.7363,0.8776,0.8084,0.9245,-2.74
Taiwan,FALTA,,,,,,,
Tajikistan,OK,,2014,0.997,0.9982,0.998,0.999,0.05
Tanzania,OK,,2015,0.7309,0.832,0.7789,0.8576,-0.18
Thailand,OK,,2018,0.9243,0.952,0.9377,0.9814,-0.01
Timor Oriental,IGNORAR,,2018,0.6421,0.7187,0.6807,0.8354,4.01
Togo,OK,,2015,0.5124,0.7726,0.6375,0.8429,4.4
Tonga,IGNORAR,,2018,0.9948,0.9935,0.9941,0.9944,0
Trinidad and Tobago,OK,,2010,0.983,0.9914,0.987,0.996,0.2
Tunisia,OK,,2014,0.7222,0.8606,0.7904,0.9621,-0.66
Turkey,OK,,2017,0.935,0.9882,0.9615,0.9975,0.13
Turkmenistan,OK,,2014,0.996,0.9975,0.997,0.998,-0.01
Uganda,OK,,2018,0.7084,0.8266,0.7653,0.894,5.74
Ukraine,OK,,2012,0.9996,0.9999,0.9997,0.9997,0.16
United Arab Emirates,OK,,2015,0.951,0.9256,0.9323,0.9943,4.42
United Kingdom,OK,*1,2010,0.99,0.99,0.99,0.99,0
United States,OK,*1,2010,0.99,0.99,0.99,0.99,0
Uruguay,OK,,2018,0.9901,0.9837,0.987,0.9888,-0.05
Uzbekistan,OK,,2018,0.9999,1,0.9999,1,0
Vanuatu,IGNORAR,,2018,0.8671,0.8831,0.8751,0.9628,0.98
Venezuela,OK,,2016,0.9721,0.9704,0.9713,0.9876,-0.25
Vietnam,OK,,2018,0.936,0.9646,0.95,0.9841,1.32
Yemen,OK,,2004,0.35,0.7316,0.541,0.77,16.78
Zambia,OK,,2018,0.8308,0.906,0.8675,0.9209,3.38
Zimbabwe,OK,,2014,0.8828,0.8919,0.8869,0.9043,-0.5
