Pais,Operacion,Fuente,Anio,Adultos,Mujeres,Hombres,Jovenes,Variacion
Egypt,OK,A,2017,0.712,0.655,0.765,0.882,-3.83
Rwanda,OK,A,2018,0.732,0.694,0.776,0.865,1.43
Morocco,OK,A,2018,0.738,0.646,0.833,0.977,6.51
Bangladesh,OK,A,2018,0.739,0.712,0.767,0.933,0.35
India,OK,A,2018,0.744,0.658,0.824,0.917,5.52
Madagascar,OK,A,2018,0.748,0.724,0.773,0.812,4.37
Myanmar,OK,A,2016,0.756,0.719,0.8,0.848,-9.84
Uganda,OK,A,2018,0.765,0.708,0.827,0.894,5.74
Eritrea,IGNORAR,A,2018,0.766,0.69,0.844,0.933,6.3
Islas Salomón,IGNORAR,A,2009,0.766,0.69,0.837,0.766,0
Lesotho,OK,A,2014,0.766,0.849,0.678,0.866,3.44
Congo (Kinshasa),OK,A,2016,0.77,0.665,0.885,0.85,1.39
Cameroon,OK,A,2018,0.771,0.716,0.826,0.851,4.51
Tanzania,OK,A,2015,0.779,0.731,0.832,0.858,-0.18
Ghana,OK,A,2018,0.79,0.745,0.835,0.925,6.77
Tunisia,OK,A,2014,0.79,0.722,0.861,0.962,-0.66
Congo (Brazzaville),OK,A,2018,0.803,0.746,0.861,0.821,1.14
Cambodia,OK,A,2015,0.805,0.75,0.865,0.922,2.07
Syria,OK,A,2004,0.808,0.736,0.878,0.925,-2.74
Guatemala,OK,A,2014,0.813,0.764,0.868,0.944,2.5
Algeria,OK,A,2018,0.814,0.753,0.874,0.974,3.66
Kenya,OK,A,2018,0.815,0.782,0.85,0.878,1.3
Nicaragua,OK,A,2015,0.826,0.828,0.824,0.916,4.56
Gabon,OK,A,2018,0.847,0.834,0.859,0.898,1.28
Laos,OK,A,2015,0.847,0.794,0.9,0.925,20.41
Iran,OK,A,2016,0.855,0.808,0.904,0.981,0.16
Guyana,IGNORAR,A,2014,0.856,0.85,0.863,0.967,3.59
Iraq,OK,A,2017,0.856,0.799,0.912,0.935,2.6
Libya,OK,A,2004,0.861,0.778,0.939,0.996,1.7
Cabo Verde,IGNORAR,A,2015,0.868,0.82,0.917,0.981,-0.02
Zambia,OK,A,2018,0.868,0.831,0.906,0.921,3.38
South Africa,OK,A,2017,0.871,0.865,0.877,0.953,-3.63
Honduras,OK,A,2018,0.872,0.873,0.871,0.965,0.39
Vanuatu,IGNORAR,A,2018,0.875,0.867,0.883,0.963,0.98
Botswana,OK,A,2014,0.877,0.887,0.867,0.977,0.24
Jamaica,OK,A,2014,0.881,0.927,0.834,0.963,4.7
Swaziland,OK,A,2018,0.884,0.885,0.883,0.955,1.97
Zimbabwe,OK,A,2014,0.887,0.883,0.892,0.904,-0.5
El Salvador,OK,A,2018,0.89,0.872,0.911,0.98,-0.01
Mauritius,OK,A,2018,0.913,0.894,0.934,0.99,0.91
Namibia,IGNORAR,A,2018,0.915,0.914,0.916,0.952,0.75
Sri Lanka,OK,A,2018,0.917,0.908,0.928,0.988,-0.07
Israel,OK,A,1983,0.918,0.887,0.95,0.986,0
Bolivia,OK,A,2015,0.925,0.886,0.965,0.994,0.4
Ecuador,OK,A,2017,0.928,0.921,0.938,0.993,0.2
Santo Tome y Principe,IGNORAR,A,2018,0.928,0.895,0.962,0.978,1.04
Brazil,OK,A,2018,0.932,0.934,0.93,0.992,0.05
United Arab Emirates,OK,A,2015,0.932,0.951,0.926,0.994,4.42
Qatar,OK,A,2017,0.935,0.947,0.931,0.946,-0.82
Dominican Republic,OK,A,2016,0.938,0.938,0.938,0.988,1.23
Thailand,OK,A,2018,0.938,0.924,0.952,0.981,-0.01
Paraguay,OK,A,2018,0.94,0.935,0.945,0.983,-0.17
Peru,OK,A,2018,0.944,0.917,0.971,0.99,-0.03
Suriname,OK,A,2018,0.944,0.927,0.961,0.987,0.98
Malta,OK,A,2018,0.945,0.96,0.93,0.993,0.42
Hong Kong,OK,B,2010,0.946,0.946,0.946,0.946,0
Malaysia,OK,A,2018,0.949,0.935,0.961,0.969,-0.42
Guinea-Ecuatorial,IGNORAR,A,2014,0.95,0.924,0.973,0.982,0.23
Vietnam,OK,A,2018,0.95,0.936,0.965,0.984,1.32
Colombia,OK,A,2018,0.951,0.953,0.949,0.989,0.18
Lebanon,OK,A,2018,0.951,0.933,0.969,0.998,0.51
Saudi Arabia,OK,A,2017,0.953,0.927,0.971,0.993,0.08
Mexico,OK,A,2018,0.954,0.946,0.962,0.993,0.19
Panama,OK,A,2018,0.954,0.949,0.96,0.991,1.46
San Vicente y las Granadinas,IGNORAR,A,1970,0.956,0.955,0.958,0.98,0
Indonesia,OK,A,2018,0.957,0.94,0.973,0.997,0.04
Oman,OK,A,2018,0.957,0.927,0.97,0.986,-0.04
Seychelles,IGNORAR,A,2018,0.959,0.964,0.954,0.991,0.1
Kuwait,OK,A,2018,0.961,0.949,0.967,0.991,-0.16
Portugal,OK,A,2018,0.961,0.951,0.974,0.997,0.23
Turkey,OK,A,2017,0.962,0.935,0.988,0.998,0.13
Chile,OK,A,2017,0.964,0.963,0.965,0.99,-0.35
Palaos,IGNORAR,A,2015,0.966,0.963,0.968,0.987,-1.17
China,OK,A,2018,0.968,0.952,0.985,0.998,0.14
Bosnia and Herzegovina,OK,A,2013,0.97,0.949,0.992,0.997,0.2
Venezuela,OK,A,2016,0.971,0.972,0.97,0.988,-0.25
Brunei,IGNORAR,A,2018,0.972,0.963,0.981,0.997,0.34
Palestinian Territories,OK,A,2018,0.972,0.957,0.987,0.993,-0.05
Singapore,OK,A,2018,0.973,0.959,0.989,0.999,0
Bahrain,OK,A,2018,0.975,0.95,0.988,0.997,0.09
Maldivas,IGNORAR,A,2016,0.977,0.981,0.973,0.988,-0.51
Macedonia,OK,A,2014,0.978,0.967,0.988,0.986,-0.14
Costa Rica,OK,A,2018,0.979,0.979,0.978,0.994,0.3
Greece,OK,A,2018,0.979,0.974,0.985,0.992,0.35
Albania,OK,A,2018,0.981,0.978,0.985,0.993,0.1
Jordan,OK,A,2018,0.982,0.978,0.986,0.993,0.24
Philippines,OK,A,2015,0.982,0.982,0.981,0.991,0.97
Islas Marshall,IGNORAR,A,2011,0.983,0.982,0.983,0.985,0
Bulgaria,OK,A,2011,0.984,0.98,0.988,0.979,-0.35
Mongolia,OK,A,2018,0.984,0.987,0.982,0.986,0.17
Spain,OK,A,2018,0.984,0.98,0.989,0.997,0.09
Granada,IGNORAR,A,2014,0.986,0.986,0.986,0.992,0
Cyprus,OK,A,2011,0.987,0.981,0.993,0.998,0.05
Poland,OK,A,2008,0.987,0.983,0.993,0.998,0
Trinidad and Tobago,OK,A,2010,0.987,0.983,0.991,0.996,0.2
Uruguay,OK,A,2018,0.987,0.99,0.984,0.989,-0.05
Romania,OK,A,2018,0.988,0.986,0.991,0.994,0.43
Serbia,OK,A,2016,0.988,0.982,0.995,0.997,0.41
Montenegro,OK,A,2018,0.989,0.983,0.995,0.991,-0.1
Antigua and Barbuda,IGNORAR,A,2015,0.99,0.994,0.984,0.99,0
Argentina,OK,A,2018,0.99,0.991,0.989,0.995,0
Australia,OK,B,2010,0.99,0.99,0.99,0.99,0
Austria,OK,B,2010,0.99,0.99,0.99,0.99,0
Belgium,OK,B,2010,0.99,0.99,0.99,0.99,0
Canada,OK,B,2010,0.99,0.99,0.99,0.99,0
Czech Republic,OK,B,2010,0.99,0.99,0.99,0.99,0
Denmark,OK,B,2010,0.99,0.99,0.99,0.99,0
Finland,OK,B,2010,0.99,0.99,0.99,0.99,0
France,OK,B,2010,0.99,0.99,0.99,0.99,0
Germany,OK,B,2010,0.99,0.99,0.99,0.99,0
Iceland,OK,B,2010,0.99,0.99,0.99,0.99,0
Ireland,OK,B,2010,0.99,0.99,0.99,0.99,0
Japan,OK,B,0.99,0.99,0.99,0.99,0.99,0
Luxembourg,OK,B,2010,0.99,0.99,0.99,0.99,0
Netherlands,OK,B,2010,0.99,0.99,0.99,0.99,0
New Zealand,OK,B,2010,0.99,0.99,0.99,0.99,0
Norway,OK,B,2010,0.99,0.99,0.99,0.99,0
Slovakia,OK,B,2010,0.99,0.99,0.99,0.99,0
South Korea,OK,B,2010,0.99,0.99,0.99,0.99,0
Sweden,OK,B,2010,0.99,0.99,0.99,0.99,0
Switzerland,OK,B,2010,0.99,0.99,0.99,0.99,0
United Kingdom,OK,B,2010,0.99,0.99,0.99,0.99,0
United States,OK,B,2010,0.99,0.99,0.99,0.99,0
Croatia,OK,A,2011,0.991,0.987,0.996,0.997,0.07
Fiyi,IGNORAR,A,2017,0.991,0.991,0.991,0.997,0.49
Hungary,OK,A,2014,0.991,0.991,0.992,0.988,-0.57
Samoa,IGNORAR,A,2018,0.991,0.993,0.99,0.991,-0.11
Italy,OK,A,2018,0.992,0.99,0.994,0.999,0.07
Georgia,OK,A,2017,0.994,0.993,0.994,0.996,-0.06
Moldova,OK,A,2014,0.994,0.991,0.996,0.998,0.35
Tonga,IGNORAR,A,2018,0.994,0.995,0.994,0.994,0
Barbados,IGNORAR,A,2014,0.996,0.996,0.996,0.999,0
Kyrgyzstan,OK,A,2018,0.996,0.995,0.997,0.998,0
Armenia,OK,A,2017,0.997,0.997,0.998,0.999,0
Russia,OK,A,2018,0.997,0.997,0.997,0.997,-0.01
Slovenia,OK,A,2014,0.997,0.996,0.997,0.998,0
Turkmenistan,OK,A,2014,0.997,0.996,0.998,0.998,-0.01
Azerbaijan,OK,A,2017,0.998,0.997,0.999,0.999,0
Belarus,OK,A,2018,0.998,0.997,0.998,0.999,0.03
Cuba,IGNORAR,A,2012,0.998,0.998,0.997,0.999,-0.08
Kazakhstan,OK,A,2018,0.998,0.997,0.998,0.999,0
Lithuania,OK,A,2011,0.998,0.998,0.998,0.999,0.15
Tajikistan,OK,A,2014,0.998,0.997,0.998,0.999,0.05
Estonia,OK,A,2011,0.999,0.999,0.999,1,0.18
Latvia,OK,C,2015,0.999,0.999,0.999,0.999,0
Letonia,IGNORAR,A,2018,0.999,0.999,0.999,0.998,-0.02
San Marino,IGNORAR,A,2018,0.999,0.999,0.999,1,0
Andorra,IGNORAR,A,2016,1,1,1,1,0
North Korea,IGNORAR,A,2008,1,1,1,1,0
Ukraine,OK,A,2012,1,1,1,1,0.16
Uzbekistan,OK,A,2018,1,1,1,1,0
Kosovo,FALTA,,,,,,,
North Cyprus,FALTA,,,,,,,
Somaliland region,FALTA,,,,,,,
Taiwan,FALTA,,,,,,,
