Pais,Anio,Mujeres,Hombres,Adultos,Jovenes,Variacion
Trinidad y Tobago,2010,0.983,0.9914,0.987,0.996,0.2
Túnez,2014,0.7222,0.8606,0.7904,0.9621,-0.66
Turkmenistán,2014,0.996,0.9975,0.997,0.998,-0.01
Turquía,2017,0.935,0.9882,0.9615,0.9975,0.13
Ucrania,2012,0.9996,0.9999,0.9997,0.9997,0.16
Uganda,2018,0.7084,0.8266,0.7653,0.894,5.74
Uruguay,2018,0.9901,0.9837,0.987,0.9888,-0.05
Uzbekistán,2018,0.9999,1,0.9999,1,0
Vanuatu,2018,0.8671,0.8831,0.8751,0.9628,0.98
Venezuela,2016,0.9721,0.9704,0.9713,0.9876,-0.25
Vietnam,2018,0.936,0.9646,0.95,0.9841,1.32
Yemen,2004,0.35,0.7316,0.541,0.77,16.78
Zambia,2018,0.8308,0.906,0.8675,0.9209,3.38
Zimbabue,2014,0.8828,0.8919,0.8869,0.9043,-0.5
